Comment,Designator,Footprint,LCSC
Opamp_Quad,U1,SOIC-14_3.9x8.7mm_P1.27mm,C107644
22p,"C4,C8",C_0402_1005Metric,C1555
22k,R19,R_0805_2012Metric,C17560
2N3904,"Q1,Q2,Q3",SOT-23,C20526
1k,"R12,R17,R21",R_0603_1608Metric,C21190
CD4148W,"D1,D2,D3",D_SOD-323,C2128
1M,"R1,R11,R2,R3,R7,R8",R_0603_1608Metric,C22935
4k7,R18,R_0603_1608Metric,C23162
10k,"R13,R14,R15,R20,R22",R_0603_1608Metric,C25804
104,"C10,C11,C12",C_0402_1005Metric,C307331
22k,"R10,R16,R4,R5,R6,R9",R_0603_1608Metric,C31850
22u,C14,C_0805_2012Metric,C45783
G6S-2,"K1,K2,K3",Relay_DPDT_Omron_G6K-2F-Y,C47190
1N4001,D4,D_SOD-123,C64898
MC78L05_SOT89,U2,SOT-89-3,C71136
47u,"C13,C9",C_1206_3216Metric,C96123
PIC12F675-xP,U3,DIP-8_W7.62mm_Socket,
Conn_01x05_Pin,J2,PinHeader_1x01_P2.54mm_Vertical,
Conn_02x03_Top_Bottom,J3,PinHeader_2x03_P2.54mm_Vertical,
10u,C5,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,
Conn_01x05_Pin,J1,PinHeader_1x02_P2.54mm_Vertical,
1u,C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
1u,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
1u,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10u,C3,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,
1u,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
MountingHole_3.2mm_M3,H1,MountingHole_3.2mm_M3,
