Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,85.9751,-43.0661,90.0,top
C2,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,83.5875,-43.0661,90.0,top
C3,10u,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,76.1199,-44.6532,180.0,bottom
C4,22p,C_0402_1005Metric,88.9215,-36.0198,90.0,bottom
C5,10u,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,83.8415,-32.4612,180.0,top
C6,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,84.9468,-45.466,180.0,bottom
C7,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,88.3627,-39.4085,90.0,top
C8,22p,C_0402_1005Metric,80.4125,-35.1028,270.0,bottom
C9,47u,C_1206_3216Metric,87.4794,-31.4706,180.0,bottom
C10,104,C_0402_1005Metric,89.4041,-40.9194,180.0,bottom
C11,104,C_0402_1005Metric,86.6876,-29.5656,180.0,bottom
C12,104,C_0402_1005Metric,75.6119,-29.2836,-90.0,top
C13,47u,C_1206_3216Metric,77.4407,-30.6832,270.0,bottom
C14,22u,C_0805_2012Metric,82.6668,-33.9598,0.0,bottom
D1,CD4148W,D_SOD-323,77.9995,-37.465,270.0,bottom
D2,CD4148W,D_SOD-323,66.5648,-35.052,0.0,top
D3,CD4148W,D_SOD-323,63.212,-35.052,180.0,top
D4,1N4001,D_SOD-123,82.4494,-31.4452,0.0,bottom
H1,MountingHole_3.2mm_M3,MountingHole_3.2mm_M3,58.199459,-29.21,0.0,top
J1,Conn_01x05_Pin,PinHeader_1x02_P2.54mm_Vertical,87.2909,-27.1272,90.0,top
J2,Conn_01x05_Pin,PinHeader_1x01_P2.54mm_Vertical,89.2771,-44.831,0.0,top
J3,Conn_02x03_Top_Bottom,PinHeader_2x03_P2.54mm_Vertical,65.0659,-29.6672,0.0,top
K1,G6S-2,Relay_DPDT_Omron_G6K-2F-Y,77.7188,-41.3412,0.0,top
K2,G6S-2,Relay_DPDT_Omron_G6K-2F-Y,68.3208,-41.3412,0.0,top
K3,G6S-2,Relay_DPDT_Omron_G6K-2F-Y,58.9228,-41.3412,0.0,top
Q1,2N3904,SOT-23,78.9432,-40.8432,180.0,bottom
Q2,2N3904,SOT-23,71.9651,-40.8554,180.0,bottom
Q3,2N3904,SOT-23,66.4194,-40.9042,0.0,bottom
R1,1M,R_0603_1608Metric,86.3561,-38.2016,90.0,top
R2,1M,R_0603_1608Metric,90.3439,-41.4406,-90.0,top
R3,1M,R_0603_1608Metric,80.8614,-45.8724,0.0,bottom
R4,22k,R_0603_1608Metric,83.2065,-38.1894,90.0,top
R5,22k,R_0603_1608Metric,88.2865,-34.2392,0.0,bottom
R6,22k,R_0603_1608Metric,79.8537,-32.9316,90.0,top
R7,1M,R_0603_1608Metric,71.3579,-45.2882,180.0,bottom
R8,1M,R_0603_1608Metric,84.7813,-38.1894,90.0,top
R9,22k,R_0603_1608Metric,90.3439,-38.418,90.0,top
R10,22k,R_0603_1608Metric,80.1331,-37.5666,90.0,bottom
R11,1M,R_0603_1608Metric,66.5949,-45.2882,0.0,bottom
R12,1k,R_0603_1608Metric,76.2,-37.8338,90.0,bottom
R13,10k,R_0603_1608Metric,73.5838,-28.8036,0.0,top
R14,10k,R_0603_1608Metric,73.5838,-30.3276,0.0,top
R15,10k,R_0603_1608Metric,76.2,-40.8564,90.0,bottom
R16,22k,R_0805_2012Metric,89.4041,-38.7115,270.0,bottom
R17,1k,R_0603_1608Metric,74.6806,-40.8554,90.0,bottom
R18,4k7,R_0603_1608Metric,73.5838,-30.3276,180.0,bottom
R19,22k,R_0805_2012Metric,88.0579,-32.1799,-90.0,top
R20,10k,R_0603_1608Metric,69.245,-40.9062,270.0,bottom
R21,1k,R_0603_1608Metric,69.2404,-37.6042,90.0,bottom
R22,10k,R_0603_1608Metric,70.769,-37.6042,270.0,bottom
U1,Opamp_Quad,SOIC-14_3.9x8.7mm_P1.27mm,84.6685,-39.624,0.0,bottom
U2,MC78L05_SOT89,SOT-89-3,81.6063,-27.8844,90.0,top
U3,PIC12F675-xP,DIP-8_W7.62mm_Socket,73.6092,-30.6832,-90.0,top
